Date,Price,Open,High,Low,Vol.,Change %
07/21/2020,5.0463,5.0283,5.0518,5.0245,26.43K,0.39%
07/22/2020,5.0504,5.0467,5.0605,5.0332,29.64K,0.08%
07/23/2020,5.0522,5.0521,5.0664,5.0486,37.57K,0.04%
07/24/2020,5.0709,5.0543,5.0775,5.0494,45.64K,0.37%
07/27/2020,5.0725,5.0753,5.0829,5.0675,31.28K,0.03%
07/28/2020,5.0753,5.0745,5.0854,5.0701,33.81K,0.06%
07/29/2020,5.0964,5.0760,5.0996,5.0740,42.82K,0.42%
07/30/2020,5.1060,5.0968,5.1099,5.0824,34.42K,0.19%
07/31/2020,5.0712,5.1079,5.1148,5.0688,38.46K,-0.68%
08/03/2020,5.0719,5.0760,5.0785,5.0643,30.13K,0.01%
08/04/2020,5.0761,5.0732,5.0832,5.0655,31.29K,0.08%
08/05/2020,5.0619,5.0786,5.0849,5.0617,40.48K,-0.28%
08/06/2020,5.0785,5.0634,5.0819,5.0625,34.68K,0.33%
08/07/2020,5.0750,5.0804,5.0847,5.0696,31.73K,-0.07%
08/10/2020,5.0652,5.0771,5.0803,5.0662,20.74K,-0.19%
08/11/2020,5.0534,5.0689,5.0716,5.0556,23.80K,-0.23%
08/12/2020,5.0545,5.0581,5.0643,5.0519,25.88K,0.02%
08/13/2020,5.0568,5.0557,5.0682,5.0544,35.28K,0.05%
08/14/2020,5.0671,5.0591,5.0739,5.0532,31.84K,0.20%
08/17/2020,5.0664,5.0616,5.0753,5.0615,19.30K,-0.01%
08/18/2020,5.0714,5.0684,5.0767,5.0655,26.05K,0.10%
08/19/2020,5.0468,5.0728,5.0773,5.0480,29.87K,-0.49%
08/20/2020,5.0565,5.0483,5.0601,5.0451,23.74K,0.19%
08/21/2020,5.0451,5.0567,5.0630,5.0363,25.72K,-0.23%
08/24/2020,5.0474,5.0450,5.0557,5.0399,19.19K,0.05%
08/25/2020,5.0512,5.0495,5.0549,5.0437,19.59K,0.08%
08/26/2020,5.0406,5.0530,5.0546,5.0352,21.05K,-0.21%
08/27/2020,5.0439,5.0423,5.0503,5.0328,23.08K,0.07%
08/28/2020,5.0531,5.0466,5.0560,5.0377,24.53K,0.18%
08/31/2020,5.0326,5.0535,5.0574,5.0286,21.61K,-0.41%
09/01/2020,5.0141,5.0332,5.0380,5.0132,26.25K,-0.37%
09/02/2020,5.0169,5.0153,5.0241,5.0089,24.85K,0.06%
09/03/2020,5.0125,5.0187,5.0220,5.0058,29.12K,-0.09%
09/04/2020,5.0120,5.0173,5.0208,4.9979,25.08K,-0.01%
09/07/2020,4.9985,5.0119,5.0152,4.9953,14.13K,-0.27%
09/08/2020,4.9912,4.9974,5.0049,4.9900,18.82K,-0.15%
09/09/2020,4.9984,4.9949,5.0041,4.9896,22.35K,0.14%
09/10/2020,4.9880,5.0009,5.0104,4.9873,20.03K,-0.21%
09/11/2020,4.9931,4.9889,5.0065,4.9875,19.44K,0.10%
09/14/2020,4.9886,4.9969,5.0017,4.9900,26.66K,-0.09%
09/15/2020,4.9810,4.9919,4.9962,4.9769,33.65K,-0.15%
09/16/2020,4.9701,4.9826,4.9857,4.9664,35.53K,-0.22%
09/17/2020,4.9829,4.9718,4.9864,4.9627,30.40K,0.26%
09/18/2020,4.9750,4.9859,4.9921,4.9748,28.02K,-0.16%
09/21/2020,4.9943,4.9791,5.0019,4.9781,32.79K,0.39%
09/22/2020,4.9659,4.9957,4.9999,4.9597,33.54K,-0.57%
09/23/2020,4.9577,4.9682,4.9755,4.9552,31.55K,-0.17%
09/24/2020,4.9628,4.9601,4.9712,4.9552,28.45K,0.10%
09/25/2020,4.9521,4.9654,4.9697,4.9472,32.61K,-0.22%
09/28/2020,4.9618,4.9541,4.9660,4.9515,28.55K,0.20%
09/29/2020,4.9781,4.9640,4.9834,4.9602,36.73K,0.33%
09/30/2020,4.9708,4.9799,4.9868,4.9649,31.25K,-0.15%
10/01/2020,4.9819,4.9728,4.9881,4.9713,24.92K,0.22%
10/02/2020,4.9749,4.9832,4.9839,4.9647,28.64K,-0.14%
10/05/2020,4.9910,4.9784,4.9969,4.9766,15.09K,0.32%
10/06/2020,4.9808,4.9904,4.9993,4.9815,19.97K,-0.20%
10/07/2020,4.9936,4.9820,4.9995,4.9799,16.33K,0.26%
10/08/2020,4.9980,4.9953,5.0036,4.9907,14.12K,0.09%
10/09/2020,4.9455,5.0001,5.0054,4.9417,22.58K,-1.05%
10/12/2020,4.9688,4.9340,4.9765,4.9332,29.12K,0.47%
10/13/2020,4.9579,4.9703,4.9731,4.9532,29.25K,-0.22%
10/14/2020,4.9456,4.9604,4.9661,4.9448,29.96K,-0.25%
10/15/2020,4.9425,4.9475,4.9575,4.9376,32.78K,-0.06%
10/16/2020,4.9306,4.9446,4.9466,4.9266,20.09K,-0.24%
10/19/2020,4.9181,4.9321,4.9389,4.9191,25.58K,-0.25%
10/20/2020,4.9171,4.9215,4.9314,4.9162,18.60K,-0.02%
10/21/2020,4.9116,4.9186,4.9251,4.9010,31.62K,-0.11%
10/22/2020,4.9245,4.9109,4.9310,4.9029,31.64K,0.26%
10/23/2020,4.9229,4.9258,4.9309,4.9117,31.32K,-0.03%
10/26/2020,4.9298,4.9246,4.9332,4.9154,31.59K,0.14%
10/27/2020,4.9268,4.9303,4.9417,4.9276,33.15K,-0.06%
10/28/2020,4.9271,4.9282,4.9409,4.9170,33.50K,0.01%
10/29/2020,4.9104,4.9275,4.9345,4.9068,35.62K,-0.34%
10/30/2020,4.8971,4.9120,4.9180,4.8950,31.58K,-0.27%
11/02/2020,4.9007,4.8997,4.9058,4.8876,34.72K,0.07%
11/03/2020,4.9080,4.9030,4.9135,4.8956,25.83K,0.15%
11/04/2020,4.8958,4.9074,4.9282,4.8875,36.00K,-0.25%
11/05/2020,4.8887,4.8997,4.9037,4.8803,36.49K,-0.15%
11/06/2020,4.8992,4.8948,4.9185,4.8854,26.68K,0.21%
11/09/2020,4.9180,4.9030,4.9359,4.8889,29.08K,0.38%
11/10/2020,4.9059,4.9205,4.9245,4.8987,43.07K,-0.25%
11/11/2020,4.9123,4.9064,4.9156,4.8942,21.69K,0.13%
11/12/2020,4.8984,4.9142,4.9198,4.8970,37.78K,-0.28%
11/13/2020,4.9005,4.9012,4.9124,4.8971,16.64K,0.04%
11/16/2020,4.8912,4.9040,4.9108,4.8840,31.27K,-0.19%
11/17/2020,4.8817,4.8941,4.8977,4.8740,27.63K,-0.19%
11/18/2020,4.8859,4.8829,4.8960,4.8738,25.17K,0.09%
11/19/2020,4.8914,4.8878,4.8988,4.8805,30.47K,0.11%
11/20/2020,4.8823,4.8959,4.8994,4.8830,18.71K,-0.19%
11/23/2020,4.8999,4.8837,4.9035,4.8816,21.21K,0.36%
11/24/2020,4.9102,4.9008,4.9134,4.8924,27.35K,0.21%
11/25/2020,4.9060,4.9108,4.9149,4.8928,27.89K,-0.09%
11/26/2020,4.9097,4.9110,4.9159,4.9022,20.41K,0.08%
11/27/2020,4.9099,4.9117,4.9215,4.9083,21.52K,0.00%
11/30/2020,4.9005,4.9123,4.9323,4.9032,15.51K,-0.19%
